pmid,g2p_id
9409863,G2P01411
9409873,G2P00410
9412782,G2P00333
9414300,G2P00035
9415682,G2P01555
9425285,G2P00764
9425900,G2P01704
9427151,G2P01040
9435987,G2P01307
9438142,G2P01423
9438922,G2P00749
9443878,G2P00860
9450868,G2P01257
9452038,G2P00410
9452061,G2P00275
9452067,G2P01621
9452083,G2P00749
9453374,G2P00642;G2P00855
9459212,G2P01621
9462749,G2P00537
9462761,G2P00331
9463323,G2P01153
9467005,G2P00700
9468540,G2P00037
9472113,G2P00413
9472859,G2P01592;G2P00999
9483644,G2P00749
9484717,G2P00169
9493611,G2P00855
9498388,G2P00680
9498535,G2P00235
9507434,G2P01384
9521425,G2P00733
9521581,G2P00144
9526164,G2P01621
9529353,G2P01386
9529364,G2P00198
9532591,G2P01562
9535131,G2P01466
9538513,G2P01299
9544375,G2P00507
9545097,G2P01058
9545406,G2P00855
9554454,G2P00946
9554474,G2P01578
9556090,G2P00931
9560949,G2P01189
9562579,G2P01226
9564814,G2P00698
9565157,G2P00831
9565507,G2P01621
9566388,G2P01085
9584265,G2P00333
9585002,G2P00473
9585358,G2P01085
9585685,G2P01159
9587030,G2P00828
9587034,G2P00828
9588526,G2P01621
9589656,G2P01032
9590292,G2P00460;G2P01278
9592796,G2P00410
9593563,G2P03298
9597295,G2P00410
9598054,G2P00673
9598084,G2P00673
9598724,G2P00275
9600243,G2P00451
9600252,G2P01519
9603435,G2P01042
9603439,G2P00579
9604804,G2P01307
9605591,G2P01356
9607189,G2P00198
9618162,G2P00526;G2P01630
9618168,G2P00805
9619643,G2P01621
9620769,G2P00510
9626125,G2P00276
9626767,G2P00410
9627600,G2P01517
9632163,G2P00240
9637425,G2P00799
9637431,G2P00946
9637609,G2P00479
9639672,G2P00342
9642623,G2P00507
9643287,G2P00410
9649715,G2P00410
9649943,G2P01013;G2P03125
9651244,G2P00139
9660941,G2P00054
9661642,G2P00276
9664610,G2P00331
9668176,G2P00526;G2P01630
9671272,G2P00684
9674408,G2P00447
9674785,G2P00645
9675154,G2P02492
9678418,G2P01421
9683607,G2P01175
9686352,G2P00088
9686362,G2P00684
9690476,G2P01380
9697705,G2P00542
9698822,G2P00507
9700188,G2P00637
9700574,G2P00680
9700593,G2P00275
9702684,G2P00626
9703425,G2P01562
9705240,G2P01368
9706626,G2P00698
9706718,G2P00410
9708897,G2P00828
9710947,G2P00538
9711871,G2P00451
9711878,G2P01156
9714007,G2P01401
9714014,G2P00421
9714436,G2P00658
9716603,G2P00414
9719371,G2P01227
9719378,G2P00331;G2P01586
9727514,G2P01555
9732973,G2P00549
9733046,G2P02233
9736061,G2P01621
9737771,G2P00649
9744478,G2P00737
9746906,G2P02973
9760196,G2P01482
9762601,G2P00951
9762612,G2P00947
9764155,G2P00283
9766254,G2P01578
9766758,G2P00198
9771706,G2P03006
9777289,G2P00235
9777487,G2P00149
9779809,G2P03444
9781056,G2P03298
9781909,G2P00413
9783703,G2P00410
9788559,G2P00700
9788566,G2P01621
9788721,G2P00240
9792406,G2P01555
9792858,G2P00531
9799086,G2P01115
9799297,G2P01321
9801874,G2P00951
9805122,G2P01621
9805126,G2P01074
9811934,G2P01459
9817917,G2P03007
9819703,G2P00828
9829213,G2P01517
9829224,G2P01298
